Year,Make,Model,Class,Transmission,Cylinders,Engine,FuelType,City,Highway,Combined
1985,Toyota,Van 2WD,Vans,Automatic 4-spd,4,2,Regular,19,22,20
1993,Ford,F150 Pickup 2WD,Standard Pickup Trucks,Manual 4-spd,8,5,Regular,14,15,14
1993,Ford,F150 Pickup 2WD,Standard Pickup Trucks,Manual 5-spd,8,5,Regular,14,18,15
1993,Ford,F150 Pickup 2WD,Standard Pickup Trucks,Automatic 4-spd,8,5.8,Regular,11,16,13
1993,Ford,F250 Pickup 2WD,Standard Pickup Trucks,Automatic 4-spd,6,4.9,Regular,14,18,15
1993,Ford,F250 Pickup 2WD,Standard Pickup Trucks,Manual 4-spd,6,4.9,Regular,15,17,15
1993,Ford,F250 Pickup 2WD,Standard Pickup Trucks,Manual 5-spd,6,4.9,Regular,14,18,15
1993,Ford,F250 Pickup 2WD,Standard Pickup Trucks,Automatic 4-spd,8,5,Regular,13,17,14
1993,Ford,F250 Pickup 2WD,Standard Pickup Trucks,Manual 4-spd,8,5,Regular,13,15,14
1993,Ford,F250 Pickup 2WD,Standard Pickup Trucks,Manual 5-spd,8,5,Regular,14,18,15
1993,Ford,F250 Pickup 2WD,Standard Pickup Trucks,Automatic 4-spd,8,5.8,Regular,11,15,12
1985,Toyota,Van 2WD,Vans,Manual 5-spd,4,2,Regular,20,23,21
1993,Ford,Ranger Pickup 2WD,Standard Pickup Trucks,Automatic 4-spd,4,2.3,Regular,18,22,20
1993,Ford,Ranger Pickup 2WD,Standard Pickup Trucks,Manual 5-spd,4,2.3,Regular,20,26,22
1993,Ford,Ranger Pickup 2WD,Standard Pickup Trucks,Automatic 4-spd,6,3,Regular,16,22,18
1993,Ford,Ranger Pickup 2WD,Standard Pickup Trucks,Manual 5-spd,6,3,Regular,17,23,19
1993,Ford,Ranger Pickup 2WD,Standard Pickup Trucks,Automatic 4-spd,6,4,Regular,15,20,17
1993,Ford,Ranger Pickup 2WD,Standard Pickup Trucks,Manual 5-spd,6,4,Regular,16,22,18
1993,GMC,Sierra 1500 2WD,Standard Pickup Trucks,Automatic 4-spd,6,4.3,Regular,15,20,17
1993,GMC,Sierra 1500 2WD,Standard Pickup Trucks,Manual 5-spd,6,4.3,Regular,15,20,17
1993,GMC,Sierra 1500 2WD,Standard Pickup Trucks,Manual 5-spd,6,4.3,Regular,14,20,16
1993,GMC,Sierra 1500 2WD,Standard Pickup Trucks,Manual 5-spd,6,4.3,Regular,15,19,16
1985,Dodge,Colt,Subcompact Cars,Automatic 3-spd,4,1.5,Regular,26,29,27
1985,Volkswagen,Vanagon 2WD,Vans,Automatic 3-spd,4,1.9,Regular,15,17,16
1993,GMC,Sierra 1500 2WD,Standard Pickup Trucks,Automatic 4-spd,8,5,Regular,14,17,15
1993,GMC,Sierra 1500 2WD,Standard Pickup Trucks,Manual 5-spd,8,5,Regular,13,18,15
1993,GMC,Sierra 1500 2WD,Standard Pickup Trucks,Automatic 4-spd,8,5.7,Regular,13,17,14
1993,GMC,Sierra 1500 2WD,Standard Pickup Trucks,Manual 5-spd,8,5.7,Regular,12,17,14
1993,GMC,Sierra 1500 2WD,Standard Pickup Trucks,Manual 5-spd,8,5.7,Regular,12,16,14
1993,GMC,Sierra 2500 2WD,Standard Pickup Trucks,Automatic 4-spd,6,4.3,Regular,15,20,17
1993,GMC,Sierra 2500 2WD,Standard Pickup Trucks,Manual 5-spd,6,4.3,Regular,14,20,16
1993,GMC,Sierra 2500 2WD,Standard Pickup Trucks,Manual 5-spd,6,4.3,Regular,15,19,16
1993,GMC,Sierra 2500 2WD,Standard Pickup Trucks,Automatic 4-spd,8,5,Regular,13,17,14
1993,GMC,Sierra 2500 2WD,Standard Pickup Trucks,Manual 5-spd,8,5,Regular,13,17,15
1985,Volkswagen,Vanagon 2WD,Vans,Manual 4-spd,4,1.9,Regular,16,18,17
1993,GMC,Sierra 2500 2WD,Standard Pickup Trucks,Automatic 4-spd,8,5.7,Regular,13,17,14
1993,GMC,Sierra 2500 2WD,Standard Pickup Trucks,Manual 5-spd,8,5.7,Regular,12,17,14
1993,GMC,Sierra 2500 2WD,Standard Pickup Trucks,Manual 5-spd,8,5.7,Regular,11,16,13
1993,Mazda,B2200/B2600i,Standard Pickup Trucks,Automatic 4-spd,4,2.2,Regular,18,23,20
1993,Mazda,B2200/B2600i,Standard Pickup Trucks,Manual 5-spd,4,2.2,Regular,18,24,20
1993,Mazda,B2200/B2600i,Standard Pickup Trucks,Automatic 4-spd,4,2.2,Regular,18,24,20
1993,Mazda,B2200/B2600i,Standard Pickup Trucks,Manual 5-spd,4,2.2,Regular,21,24,22
1993,Mazda,B2200/B2600i,Standard Pickup Trucks,Automatic 4-spd,4,2.6,Regular,17,22,19
1993,Mazda,B2200/B2600i,Standard Pickup Trucks,Manual 5-spd,4,2.6,Regular,17,22,19
1993,Toyota,T100 2WD,Standard Pickup Trucks,Automatic 4-spd,4,2.4,Regular,19,23,21
1985,AM General,Post Office DJ5 2WD,Special Purpose Vehicle 2WD,Automatic 3-spd,4,2.5,Regular,16,17,16
1993,Toyota,T100 2WD,Standard Pickup Trucks,Manual 5-spd,4,2.4,Regular,20,26,22
1993,Toyota,T100 2WD,Standard Pickup Trucks,Automatic 4-spd,6,3,Regular,16,21,18
1993,Toyota,T100 2WD,Standard Pickup Trucks,Automatic 4-spd,6,3,Regular,15,19,16
1993,Toyota,T100 2WD,Standard Pickup Trucks,Manual 5-spd,6,3,Regular,15,20,17
