Year,Make,Model,Class,Transmission,Cylinders,Engine,FuelType,City,Highway,Combined
1993,Chevrolet,Sport Van G10/20 2WD,Vans,Automatic 4-spd,8,5,Regular,12,16,13
1993,Chevrolet,Sport Van G10/20 2WD,Vans,Automatic 4-spd,8,5.7,Regular,11,16,13
1993,Chevrolet,Sport Van G30 2WD,Vans,Automatic 4-spd,8,5.7,Regular,11,16,13
1993,Dodge,B150/B250 Wagon 2WD,Vans,Automatic 4-spd,6,3.9,Regular,12,16,14
1993,Dodge,B150/B250 Wagon 2WD,Vans,Automatic 3-spd,6,3.9,Regular,13,16,14
1993,Dodge,B150/B250 Wagon 2WD,Vans,Manual 5-spd,6,3.9,Regular,12,17,14
1993,Dodge,B150/B250 Wagon 2WD,Vans,Automatic 3-spd,8,5.2,Regular,11,13,12
1985,Dodge,AD100/AD150 Ramcharger 2WD,Special Purpose Vehicle 2WD,Automatic 3-spd,8,5.9,Regular,10,12,11
1993,Dodge,B150/B250 Wagon 2WD,Vans,Automatic 4-spd,8,5.2,Regular,11,16,13
1993,Dodge,B150/B250 Wagon 2WD,Vans,Automatic 4-spd,8,5.9,Regular,11,14,12
1993,Dodge,B350 Wagon 2WD,Vans,Automatic 4-spd,8,5.2,Regular,11,14,12
1993,Dodge,B350 Wagon 2WD,Vans,Automatic 4-spd,8,5.9,Regular,10,13,12
1993,Ford,Aerostar Wagon,Vans,Automatic 4-spd,6,3,Regular,15,21,17
